var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
1709,0x801ad4,2,,fmt=0x1f A=0x50,handler 0x44480; tools/measuring_vars.py
1712,0x801348,1,,fmt=0x10 A=0xff,"handler 0x444ac; also reads 0x7f9dd9/1,0x7fed7c/2,0x8013f8/1,0x7f9dd8/1,0x7f9cfc/1; tools/measuring_vars.py"
1713,0x801348,1,,fmt=0x10 A=0xff,"handler 0x4458c; also reads 0x7f9ddb/1,0x7fed7c/2,0x8013f8/1,0x7f9dda/1,0x7f9cfe/1; tools/measuring_vars.py"
1714,0x801348,1,,fmt=0x10 A=0xff,"handler 0x4466c; also reads 0x7f9cd1/1,0x7f9cd3/1,0x7fed7c/2,0x7fd1bd/1,0x7f9d7b/1,0x7f9d7d/1; tools/measuring_vars.py"
1715,0x801348,1,,fmt=0x10 A=0xff,"handler 0x44740; also reads 0x7f9cf5/1,0x7f9dc7/1,0x801e64/1,0x801e65/1,0x801e66/1; tools/measuring_vars.py"
1716,0x801348,1,,fmt=0x10 A=0xff,"handler 0x44814; also reads 0x7f9cf7/1,0x7f9dc9/1,0x801e64/1,0x801e65/1,0x801e66/1; tools/measuring_vars.py"
1720,0x801348,1,,fmt=0x10 A=0xff,"handler 0x448e8; also reads 0x7f9ce1/1,0x7fd3cb/1,0x7feb54/1,0x7fd3e6/1; tools/measuring_vars.py"
1723,0x801348,1,,fmt=0x10 A=0xff,"handler 0x44998; also reads 0x7f9d4b/1,0x7febca/1,0x7fec20/1,0x7febcb/1; tools/measuring_vars.py"
1724,0x801348,1,,fmt=0x10 A=0xff,"handler 0x44a34; also reads 0x7f9d4d/1,0x7fec1e/1,0x7fec21/1,0x7fec1f/1; tools/measuring_vars.py"
1725,0x801348,1,,fmt=0x10 A=0xff,"handler 0x44ad0; also reads 0x7f9c57/1,0x7fd2df/1,0x7fd2eb/1,0x7fd2e0/1,0x7fd2e1/1,0x7fd2ea/1+more; tools/measuring_vars.py"
1726,0x801348,1,,fmt=0x10 A=0xff,"handler 0x44ba8; also reads 0x7f9d31/1,0x800f3e/1,0x7f9144/1,0x7fcfa0/1; tools/measuring_vars.py"
1727,0x7f91f2,2,,fmt=0x3d A=0xff,handler 0x44c6c; tools/measuring_vars.py
1728,0x7f91f0,2,,fmt=0x3d A=0xff,handler 0x44cb4; tools/measuring_vars.py
1729,0x8013d6,2,,fmt=0x3d A=0xff,handler 0x44cfc; tools/measuring_vars.py
1730,0x8013d4,2,,fmt=0x3d A=0xff,handler 0x44d44; tools/measuring_vars.py
1731,0x80145a,1,,fmt=0x36 A=0x00,handler 0x44d8c; tools/measuring_vars.py
1732,0x80145b,1,,fmt=0x36 A=0x00,handler 0x44d9c; tools/measuring_vars.py
1733,0x801a5e,2,,fmt=0x05 A=0x3c,handler 0x44dac; tools/measuring_vars.py
1744,0x802233,1,,fmt=0x75 A=0x4b,handler 0x44df4; tools/measuring_vars.py
1745,0x801b01,1,,fmt=0x36 A=0x00,handler 0x44e04; tools/measuring_vars.py
1748,0x80141a,2,,fmt=0x05 A=0x3c,handler 0x44e14; tools/measuring_vars.py
1749,0x8014de,2,,fmt=0x05 A=0x3c,handler 0x44e5c; tools/measuring_vars.py
1750,0x801968,2,,fmt=0x05 A=0x3c,handler 0x44ea4; tools/measuring_vars.py
1751,0x7f9227,1,,fmt=0x36 A=0x00,handler 0x44eec; tools/measuring_vars.py
1752,0x7fec56,1,,fmt=0x10 A=0xff,"handler 0x44efc; also reads 0x801424/1,0x801426/1,0x7fec5b/1,0x7f9d3f/1; tools/measuring_vars.py"
1753,0x7fec57,1,,fmt=0x10 A=0xff,"handler 0x44fbc; also reads 0x801425/1,0x801426/1,0x7fec5c/1,0x7f9d41/1; tools/measuring_vars.py"
1754,0x80150c,1,,fmt=0x10 A=0xff,"handler 0x4507c; also reads 0x801424/1,0x80143c/1,0x7fe9b6/1; tools/measuring_vars.py"
1755,0x80150d,1,,fmt=0x10 A=0xff,"handler 0x45124; also reads 0x801425/1,0x80143d/1,0x7fd291/1; tools/measuring_vars.py"
1756,0x7fd203,1,,fmt=0x10 A=0xff,"handler 0x451cc; also reads 0x7f9222/1,0x801905/1,0x7fed6c/2; tools/measuring_vars.py"
1757,0x7fd203,1,,fmt=0x10 A=0xff,"handler 0x45288; also reads 0x7f9222/1,0x801905/1,0x7feb59/1; tools/measuring_vars.py"
1758,0x7f9d3f,1,,fmt=0x10 A=0xff,"handler 0x45344; also reads 0x7f9d41/1,0x7f9d43/1,0x7f9d45/1; tools/measuring_vars.py"
1759,0x801952,2,,fmt=0x36,handler 0x45410; calls 0x410054; tools/measuring_vars.py
1768,0x802b4c,2,,fmt=0x25,"handler 0x45448; also reads 0x7fe960/1,0x7fd0cc/1; tools/measuring_vars.py"
